tweet,clean_tweet,label,label_id
"JANCOK, SUMPAH GUA MURKA LIAT INI. PEN GUA TEBAS JUGA LU PAK, TAEEEKKK DADI MENUNGSO KOK GRAGAS MEN YO COK, KEPIYE MAKSUDMU COK!!! TRADISI SIH TRADISI, TAPI CARAMU MATENI KUCING IKU YO RAUMUM SETAN! MATIMU YO RABAKALAN ADOH KOYOK KUCING KUI JANCOK!",jancok sumpah saya murka liat ini pen saya tebas juga kamu pak taeekk dadi menungso kok gragas men yo cok kepiye maksudmu cok tradisi sih tradisi tapi caramu mateni kucing iku yo raumum setan matimu yo rabakalan adoh koyok kucing kui jancok,anger,0
Pyo saja liatnya kesal,pyo saja liatnya kesal,anger,0
kalo ada yg tersinggung dari twit 10 tahun yg lalu yg keluar dari jempol bocah 14 tahun ya bego sih wgwgwg,kalau ada yang tersinggung dari twit tahun yang lalu yang keluar dari jempol bocah tahun ya bodoh sih wgwgwg,joy,4
"Siapppp, jangan risih kalau di balain ya",siapp jangan risih kalau di balain ya,disgust,1
Jijik sekali aku liat gesture ku sendiri bawain wannabe,jijik sekali saya liat gesture ku sendiri bawain wannabe,disgust,1
"Semangat! Fighting! Kamu harus yakin ada banyak orang yg punya hidup kayak kamu, dan akan ada yg ngerti kamu. Daripada mikir untuk benci hidup, lebih baik kamu nikmati aja. Coba ketawain hal2 yg bikin kamu muak, abis itu kamu teriak/nangis.",semangat fighting kamu harus yakin ada banyak orang yang punya hidup mirip kamu dan akan ada yang ngerti kamu daripada mikir untuk benci hidup lebih baik kamu nikmati saja coba ketawain hal yang bikin kamu muak abis itu kamu teriak nangis,joy,4
dah muak,sudah muak,disgust,1
Anjaaay ngeri nyaks,anjaay ngeri nyaks,fear,2
yela da kaye sekarang nak berlagak lak ciss benci !,yailah da kaye sekarang anak berlagak lak ciss benci,anger,0
Ini paling hal benci dari sd sampe smp anj wkwkwlwkw,ini paling hal benci dari sd sampai smp anj wkwkwlwkw,anger,0
eh ngeri bernada ancaman,eh ngeri bernada ancaman,fear,2
"Mhn kesediaan Bapak/Ibu Pelanggan menunggu, dengan senang hati kami segera merespon Mention kembali. Tks ^Dodi",mhn kesediaan bapak ibu pelanggan menunggu dengan senang hati kami segera merespon mention kembali tks dodi,joy,4
Ko gua kaya wartawan ya nanya dia mulu hahaha lah dia nya mana nanya gua kan aneh ih jijik sama diri sendiri,ko saya kaya wartawan ya tanya dia terus lah dia nya mana tanya saya kan aneh ih jijik sama diri sendiri,disgust,1
"""maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh ga ada, kalo dalem bisa jadi dibawah kolong. maneh negatif pisan"" ia tertawa puas",maksudnya diluar tuh kadang mereka ganggu diluar pintu kan suka ngetok tapi orangnya teh tidak ada kalau dalam bisa jadi dibawah kolong mana negatif pisan ia tertawa puas,joy,4
coba nahan diri utk ga update informasi tp ga tahan &amp; hasilnya malah makin memuakkan. sedih liat betapa absurdnya kebijakan pemerintah &amp; betapa berkuasanya lord LBP serta lemahnya kepemimpinan pak jokes.,coba tahan diri untuk tidak update informasi tapi tidak tahan amp hasilnya malah makin memuakkan sedih liat betapa absurdnya kebijakan pemerintah amp betapa berkuasanya lord lbp serta lemahnya kepemimpinan pak jokes,sadness,6
"Habis itu aku bilang gitu malah tanya tanya komitmen kek yg ada di foto ke 2. Kan katanya mau bilang langsung,ya emg dia besoknya jelasin langsung ke aku tp dg alasan yg kurang jelas. Ya kecewa si cuma mau gimana lagi berarti emg dia bukan buat aku",habis itu saya bilang begitu malah tanya tanya komitmen kek yang ada di foto ke kan katanya mau bilang langsung ya memang dia besoknya jelasin langsung ke saya tapi dengan alasan yang kurang jelas ya kecewa si cuma mau gimana lagi berarti memang dia bukan buat saya,sadness,6
I prefer this kind of privacy wkwkwk. Yg sepi2 gini enak. Mau ngomong apa juga enak gaperlu malu gaperlu ada yg tersinggung,i prefer this kind of privacy yang sepi gini enak mau bicara apa juga enak gaperlu malu gaperlu ada yang tersinggung,joy,4
"Kita ini banyak yang pelupa, bahwa hal sensitif seperti ini, bisa merenggut nyawa, nyawa kita, nyawa orang yang kita cintai, bahkan nyawa orang yang kita benci. Lalu apa ujungnya? Darah dibalas darah?",kita ini banyak yang pelupa bahwa hal sensitif seperti ini bisa merenggut nyawa nyawa kita nyawa orang yang kita cintai bahkan nyawa orang yang kita benci lalu apa ujungnya darah dibalas darah,anger,0
Bukti n fakta klo pejabat2 INA ndk disegani olh mrk... miris malu tngkt international,bukti n fakta kalau pejabat ina tidak disegani olh mereka miris malu tngkt international,sadness,6
"Masih heran kenapa ada si manusia"" bentukan kaya gt , siapkan mood terbaikmu hri ini, se gak nya klo km bete tu mood mu gak langsung hbs,",masih heran kenapa ada si manusia bentukan kaya begitu siapkan mood terbaikmu hari ini se tidak nya kalau kamu sebal itu mood mu tidak langsung habis,surprise,7
Udh terkejut,sudah terkejut,surprise,7
"Mushola dirusak, sebagai seorang muslim saya marah, kecewa dan mengutuk para pelakunya, mungkin perasaan inilah yg saudara2 kita rasakan saat Gereja mereka dirusak, kebaktian dbubarkan atau Ijin medirikan tempat ibasah ditolak. Ini pelajaran berharga buat kita ya Njul ..",mushola dirusak sebagai seorang muslim saya marah kecewa dan mengutuk para pelakunya mungkin perasaan inilah yang saudara kita rasakan saat gereja mereka dirusak kebaktian dbubarkan atau ijin medirikan tempat ibasah ditolak ini pelajaran berharga buat kita ya njul,anger,0
"Ngeri bgttt, akunmu nyambung ke email gak? Kalo iya biasanya keliatan yang mau masuk ke akunmuu",ngeri bgtt akunmu nyambung ke email tidak kalau iya biasanya kelihatan yang mau masuk ke akunmuu,fear,2
"Suka nya banyak ketemu orang, bisa minggir dulu di tempat makan atau nongkrong di stasiun Duka nya tua di keretaaaaaaa, apalagi pas pada pulang kerja kaki gabisa napak di lantai kereta. Kalo lagi dapet atau capek abis kuliah ke senggol dikit rasa nya mo marah",suka nya banyak ketemu orang bisa minggir dulu di tempat makan atau nongkrong di stasiun duka nya tua di keretaa apalagi pas pada pulang kerja kaki tidak bisa napak di lantai kereta kalau lagi dapat atau capai abis kuliah ke senggol sedikit rasa nya mau marah,sadness,6
"Syukur Alhamdulillah... bukan nilai materi yg aq vahagia, tp dipercaya dan direspon + GA ini lah makna hakiki indahnya Silaturahmi .... sehat selalu, murah rejeki, delamat dunia akherat untuk saudaraku salute dan respek",syukur alhamdulillah bukan nilai materi yang saya vahagia tapi dipercaya dan direspon tidak ini lah makna hakiki indahnya silaturahmi sehat selalu murah rejeki delamat dunia akherat untuk saudaraku salute dan respek,joy,4
"Kesian, penat merangkak tu",kasihan penat merangkak itu,disgust,1
Bapak lajuu hahaha. Functionnn klau susah. Secret boss dia hritu senang gila hahaha,bapak lajuu functionn kalau susah secret boss dia hritu senang gila,joy,4
"wow aku mimpi aku ikut perang ngelawan jepang buat kemerdekaan, bangga sekali",wow saya mimpi saya ikut perang ngelawan jepang buat kemerdekaan bangga sekali,joy,4
Udah kebiasaan ABS Asal Bapak Senang. Jadi ya seneng kl dengar info,sudah kebiasaan abs asal bapak senang jadi ya senang kalau dengar info,joy,4
Terkejut nina tgk yg reply tu jugak. Backup teruks,terkejut nina tgk yang reply itu jugak backup teruks,surprise,7
"apa kamu tida malu ngehujat pake nama fandom laen? uda la kalo gabut mah gabut aja gosah ngajak tubir orang, eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang ups bcnd syg",apa kamu tidak malu ngehujat pakai nama fandom lain sudah la kalau menganggur mah menganggur saja gosah mengajak tubir orang eh lupa deng kan situ sampah ya sampah kan tugasnya bikin risih orang ups bcnd sayang,disgust,1
Anjir panas dingin yang debut siapaaa yang gugup siapaaa,anjir panas dingin yang debut siapaa yang gugup siapaa,fear,2
"Iyaa puas makan sabbat burger, nyokap aja suka banget. Kalau malem antrinya mantep",iyaa puas makan sabbat burger nyokap saja suka sekali kalau malam antrinya mantap,joy,4
take note pls. jgn bg rakyat murka ye.,take note pls jangan bagi rakyat murka ye,anger,0
Sangat benci,sangat benci,anger,0
"Saya gak kebayang dia sekarang pasti gak tentram, karena komandan diperlakukan seperti yg dulunya jadi prajuritnya pasti tersinggung dan sakit sahit",saya tidak kebayang dia sekarang pasti tidak tentram karena komandan diperlakukan seperti yang dulunya jadi prajuritnya pasti tersinggung dan sakit sahit,anger,0
"Kayanya gini ke Hokuto doang sih Kalau Achilles, aku senang liat dia dibully batur /heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka Kalau yang lain kayanya fangirling biasa",kayaknya gini ke hokuto saja sih kalau achilles saya senang liat dia dibully batur heh terusterusachillesberdarahdarahyangwaktuitujugaakusuka kalau yang lain kayaknya fangirling biasa,joy,4
"muka nya murka,badmood melihat orang orang yang masuk neraka",muka nya murka badmood melihat orang orang yang masuk neraka,anger,0
Pengin jadi sabun biar korona pada takut,ingin jadi sabun biar korona pada takut,fear,2
"Tweeter produk kafir, tweeter-an di pakai umat nabi, boleh... Tahlil, yasin, di amalkan umat nabi menjadi tahlilan, yasinan... Terhadap hal yg nabi jijik sj beliau berhati dlm menghukumi, apa lagi hal yg nyata hikmah kebaikannya...",tweeter produk kafir tweeter an di pakai umat nabi boleh tahlil yasin di amalkan umat nabi menjadi tahlilan yasinan terhadap hal yang nabi jijik sj beliau berhati dalam menghukumi apa lagi hal yang nyata hikmah kebaikannya,anger,0
SAD ENDING GANTUNG ENDING GUA MUAK YA,sad ending gantung ending saya muak ya,disgust,1
Gapapa mas saya bangga sama temen temen saya.,tidak apa-apa mas saya bangga sama teman teman saya,joy,4
"Semakin banyak merasa berjasa, semakin sering kamu merasa kecewa. Hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa.",semakin banyak merasa berjasa semakin sering kamu merasa kecewa hanya keikhlasanlah yang dapat mencegahmu dari rasa kecewa,sadness,6
JANGAN TANYA SAYA! SAYA HERAN! KAGET SAYA!,jangan tanya saya saya heran kaget saya,surprise,7
"Jangan cala colo aja napa koh, kecewa gua. Akwoakwoakwoakwoakwok",jangan cala colo saja kenapa koh kecewa saya akwoakwoakwoakwoakwok,sadness,6
"Semoga dapat pembalasan yang setimpal,dan allah murka dengan manusia2 seperti itu",semoga dapat pembalasan yang setimpal dan allah murka dengan manusia seperti itu,anger,0
"Lokasi di tunjuk ama cebong...atas arahan cebong pula ga heran kalo banjir, kan emg harus ada kolam buat berkubang",lokasi di tunjuk sama cebong atas arahan cebong pula tidak heran kalau banjir kan memang harus ada kolam buat berkubang,surprise,7
Morn Semoga tiap hari kita bahagia. Stay strong ya kita,morn semoga tiap hari kita bahagia stay strong ya kita,joy,4
"Knapasihhh, akupun kecewa ma diriku sendiri",knapasihh akupun kecewa ma diriku sendiri,sadness,6
Amiiiiiin *team sengsara berakhir bahagia,amiin team sengsara berakhir bahagia,sadness,6
Ternyata lebih sengsara kangen sama temen,ternyata lebih sengsara kangen sama teman,sadness,6
Heran aku kenapa dari kemaren dimintain duwit terus,heran saya kenapa dari kemarin dimintain duwit terus,surprise,7
Pagi nanti nak buat kuis la. Teka haiwan je. Alaa senang je tu,pagi nanti anak buat kuis la teka haiwan je alaa senang je itu,joy,4
"Anjir benci vbanget sm cowo yg ngroko smbl berak Di tmpt kerja, kamar mandi cuma 1 udh gitu gada ventilasi, temen gua tiap ke kamar mandi berak pasti ngrokok, pas keluar gila itu kamar mandi udh kaya habis kebakaran, asepnya lebat bgt, heran ko ga mati ya 15 menit disitu",anjir benci vbanget sama cowok yang ngroko sambil berak di tempat kerja kamar mandi cuma sudah begitu tidak ada ventilasi teman saya tiap ke kamar mandi berak pasti ngrokok pas keluar gila itu kamar mandi sudah kaya habis kebakaran asepnya lebat sangat heran ko tidak mati ya menit disitu,anger,0
Sedang kesal,sedang kesal,anger,0
Karna udh muak bukan muak karna dia bngunin solat subuh muak sama orngnya hhe,karena sudah muak bukan muak karena dia bngunin solat subuh muak sama orngnya hhe,disgust,1
PKP random sketch day berapa entah. Gugup gak aku sketch ni.,pkp random sketch day berapa entah gugup tidak saya sketch ini,fear,2
KO OVARIUM ANJINC [ mrasa kesal ],ko ovarium anjinc mrasa kesal,anger,0
manusia modelan begini tuh masalahnya apa si caper mlu heran,manusia modelan begini tuh masalahnya apa si caper mlu heran,surprise,7
Minum kopinya kang biar gak gugup,minum kopinya kang biar tidak gugup,joy,4
bnyk gasukanya heran,banyak gasukanya heran,surprise,7
orang stress gini nih subuh subuh ada aja kelakuannya. heran.,orang stress gini nih subuh subuh ada saja kelakuannya heran,surprise,7
Sudah bosan dan muak ya? Wkwkwkkw,sudah bosan dan muak ya wkwkwkkw,disgust,1
"benci ih aneh bgt BGTBGTBGT ANEH HUH, nikmat tuhan mana yg kamu dustakan? bener2 deh",benci ih aneh sangat bgtbgtbgt aneh huh nikmat tuhan mana yang kamu dustakan benar deh,anger,0
Diiyain lagi murka banget.,diiyain lagi murka sekali,anger,0
Bae-bae ye jangan keseringan jadi ngeri,baik baik ye jangan keseringan jadi ngeri,fear,2
Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik Nangis Jijik,nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik nangis jijik,disgust,1
Bersama sama hilangkan hati duka lara,bersama sama hilangkan hati duka lara,sadness,6
"Udah kaya begal maen todong, ngeri!!",sudah kaya begal main todong ngeri,joy,4
wkwkwk gapapaaa aku bacanya lucu jadinya cuma ngebenerin aja kokk jangan tersinggung yaaa,gapapaa saya bacanya lucu jadinya cuma ngebenerin saja kokk jangan tersinggung yaa,joy,4
Kan bila fikir pun dah penat . Apa tah lagi nak lalui lagi,kan bila fikir pun sudah penat apa tah lagi anak lalui lagi,disgust,1
"sakit banget saat cowok yg bikin lo bahagia kemaren, ternyata yg bikin lo nangis hari ini",sakit sekali saat cowok yang bikin kamu bahagia kemarin ternyata yang bikin kamu nangis hari ini,sadness,6
"Dia nyindir jg diacara lain wkwkw intinya sih gue yakin dia kecewa bgt (YAIYALAH) soalnya mbaknya tuh emg fans kyuhyun dr lamaaa bgt dr zaman dia ceking kerontang wkwk eh ditinggal wamil oleng dong:""",dia nyindir juga diacara lain wkwkw intinya sih saya yakin dia kecewa sangat yaiyalah soalnya mbaknya tuh memang fans kyuhyun dari lamaa sangat dari zaman dia ceking kerontang eh ditinggal wamil oleng dong,anger,0
"emang udah benci jokowi dari sana nya, ya susah ngomong sama kadrun",memang sudah benci jokowi dari sana nya ya susah bicara sama kadrun,anger,0
"Dendi d pateni Yo,jijik bgt e kae ki",dendi d pateni yo jijik sangat e kae ki,disgust,1
HIH KESAL,hih kesal,anger,0
"senang hari ini, menjadi halu kemudian",senang hari ini menjadi halu kemudian,joy,4
"Aku tersinggung mbak, pengen muleh ae rasane",saya tersinggung mbak ingin muleh ae rasanya,anger,0
"Gue nyariin dari kmrn,kecewa",saya nyariin dari kemarin kecewa,sadness,6
"Ada ye, orang diliatin malah dikira naksir. Gue diliatin gitu malah risih masa",ada ye orang diliatin malah dikira naksir saya diliatin begitu malah risih masa,disgust,1
"cth paling senang lecturer la, mcm mana sei dia nak tau apa yg jadi dkt student2 dia.... apa yg student dia buat cth dengan siapa student dia dating, apa yg student dia buat bila bukan waktu kelas... and senang2 je dorg kata seungri tau apa yg berlaku ?? wtf",contoh paling senang lecturer la macam mana sei dia anak tahu apa yang jadi dekat student dia apa yang student dia buat contoh dengan siapa student dia dating apa yang student dia buat bila bukan waktu kelas and senang je dorg kata seungri tahu apa yang berlaku wtf,joy,4
Terlalu seksi bu..... Takut ada yg kepanasan........,terlalu seksi bu takut ada yang kepanasan,fear,2
"W dlu waktu awal kenal sosmed malah bela2in fpi,sejenis kadrun2nan, radikal bebas.. sekarang w benci banget sama fpi, kadrun2nan dan sejenis mereka. Berani ngatain itu gk relevant krn pengalaman w sendiri juga gitu, otak w dlu belum jadi.",saya dulu waktu awal kenal sosmed malah bela in fpi sejenis kadrun nan radikal bebas sekarang saya benci sekali sama fpi kadrun nan dan sejenis mereka berani ngatain itu tidak relevant karena pengalaman saya sendiri juga begitu otak saya dulu belum jadi,anger,0
takut dihujat w,takut dihujat saya,fear,2
"cik atuh lah ulah balalaga kitu nu jd re-seller teh, sawajarna. urg bangga make brand local, tp mun kitu2 teuing mah hoream makena ge.",cik atuh lah ulah balalaga kitu nu jadi re seller teh sawajarna urg bangga pakai brand local tapi mun kitu teuing mah hoream makena ge,joy,4
Mbaknya terpesona karo kecantikanmu mbak enjiii,mbaknya terpesona karo kecantikanmu mbak enjii,surprise,7
ngebales tweet dan bikin tweet kaya gitu malah nunjukkin kalo lu cemas dan takut hehe,ngebales tweet dan bikin tweet kaya begitu malah nunjukkin kalau kamu cemas dan takut,fear,2
selalu dijudge org lain even until now so I know gimana rasanya dijudge org2 in conclusion lemme make it short gw tidak mao menghabiskan waktu fangirling gw untuk membenci sesuatu yg bahkan mungkin bias2 gw ga benci...gw jelas tyda muda lagi udah mo menuju 40 thn -c-,selalu dijudge orang lain even until now so i know gimana rasanya dijudge orang in conclusion lemme pakai it short saya tidak mao menghabiskan waktu fangirling saya untuk membenci sesuatu yang bahkan mungkin bias saya tidak benci saya jelas tyda muda lagi sudah mau menuju tahun c,sadness,6
Jijik eeeuyyhh,jijik eeuyyhh,disgust,1
Terus pas ada yang rasis tersinggung. Padahal mereka nya juga sok menjauh gitu kadang. Heran,terus pas ada yang rasis tersinggung padahal mereka nya juga sok menjauh begitu kadang heran,surprise,7
Murka sa bandungeun dibawa jigana coks. Saminggu Gandul datang eta sunter langsung banjir..Hhaha,murka sa bandungeun dibawa jigana coks saminggu gandul datang eta sunter langsung banjir hhaha,anger,0
"Akui terpesona dengan sikap BCL, Ariel NOAH tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang Ashraf Sinclair.",akui terpesona dengan sikap bcl ariel noah tak segan minta bayaran berupa perasaan saat ia ngamen di rumah istri mendiang ashraf sinclair,surprise,7
"ngeri banget itu disampingnya sungai, suka was was kalau main ke sungai tiba tiba longsor mampus dah",ngeri sekali itu disampingnya sungai suka was was kalau main ke sungai tiba tiba longsor mampus sudah,fear,2
"Nga ah, tkut kecewa aku wkwkwk",nga ah tsayat kecewa saya,fear,2
"Tapi tidak dengan yg bermoral,dan membawa nama agama,dan jarang terjadi,tidak yg suka klaim surga,dan horam haram tapi melakukannya juga,untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya,bikin muak,.",tapi tidak dengan yang bermoral dan membawa nama agama dan jarang terjadi tidak yang suka klaim surga dan horam haram tapi melakukannya juga untuk menutupi bejadnya kelakuannya dengan mengatas namakan agama nya bikin muak,disgust,1
"aku hari ini: orang: kok muka lu kaya m****t aku: hahaha *cuek* aku besok: orang: kok muka lu kaya m****t aku: *diem, tersinggung* ya begitulah kurang lebih contohnya.",saya hari ini orang kok muka kamu kaya m t saya cuek saya besok orang kok muka kamu kaya m t saya diam tersinggung ya begitulah kurang lebih contohnya,anger,0
(BELVYAAAA!!!!! KENAPA LO SARANKAN BELIAU HAHHH?!?!!?!!!!!!!!! GW MURKA),belvyaa kenapa kamu sarankan beliau hahh saya murka,anger,0
Foya foya dulu kalo udah puas baru nikah,foya foya dulu kalau sudah puas baru nikah,joy,4
HHhhaha aku pun terkejut,hhaha saya pun terkejut,joy,4
Kamu SOpan Aku Senang,kamu sopan saya senang,joy,4
"Selamat pagi. Gila ya kamu pagi-pagi kayak gini malah dimulai dengan ngehaluin dia jadi milik kamu, heran.",selamat pagi gila ya kamu pagi pagi mirip gini malah dimulai dengan ngehaluin dia jadi milik kamu heran,surprise,7
Yakaaannnn cempreng2nya kedengeran huhuhu takut man dimarahin nayah hahahahahah,yakaann cempreng nya kedengeran huhuhu takut man dimarahin nayah hahahahahah,fear,2
Angkat in tagar dong om soal pak Jokowi takut pada kaum intoleran,angkat in tagar dong om soal pak jokowi takut pada kaum intoleran,fear,2
"Syukur Doakan i pulak after this,aamiin",syukur doakan i pulak after this amin,joy,4
"Yah kecewa, btw makasih udah respon!",yah kecewa btw makasih sudah respon,sadness,6
Pasti dalam hati si abang ojol itu kesal sama ancaman mba n udh mikir yg buruk2 tentang si mba'nya... Tp stelah lihat polisi di ujung jalan pasti dia bersyukur banget krn mba udh cegah dia masuk jalur busway...,pasti dalam hati si abang ojol itu kesal sama ancaman mba n sudah mikir yang buruk tentang si mba nya tapi setelah lihat polisi di ujung jalan pasti dia bersyukur sekali karena mba sudah cegah dia masuk jalur busway,surprise,7
Kecewa mehong,kecewa mehong,sadness,6
"Peletku dahsyat juga ya ternyata, semua cewek bisa terpesona. Jadi bangga",peletku dahsyat juga ya ternyata semua cewek bisa terpesona jadi bangga,surprise,7
"Wajahnya sedikit merah padam. Ia menahan marahnya. Entah kenapa ia tiba-tiba kesal saat mengingat cerita milik pemuda ini. Namun, wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya. Dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan.",wajahnya sedikit merah padam ia menahan marahnya entah kenapa ia tiba tiba kesal saat mengingat cerita milik pemuda ini namun wajahnya mendadak gugup saat pemuda itu memperkenalkan dirinya dengan segera ia bangkit dari duduknya dan membungkukkan tubuhnya sopan,anger,0
"Ada dua nikmat di mana manusia banyak tertipu karenanya, yaitu kesehatan dan waktu luang. (HR Bukhari)",ada dua nikmat di mana manusia banyak tertipu karenanya yaitu kesehatan dan waktu luang hari bukhari,surprise,7
"Udh muak bgt sama kalimat itu ewwwhhh. Bego aja si yg masi ngandelin tu kalimat wkwk. Kayak, liat aja itu twice, rv comeback lebih dr sekali setahun lagunya ngeboom aja kok, makin dikenal pula di Korea. Emg si waijing ni ganiat aja ngurus gg.",sudah muak sangat sama kalimat itu e bodoh saja si yang masi ngandelin itu kalimat mirip liat saja itu twice rv comeback lebih dari sekali setahun lagunya ngeboom saja kok makin dikenal pula di korea memang si waijing ini ganiat saja urus gg,disgust,1
Yg saya heran diTV anak2 papua tdk nampak ya?? Yg sering muncul anak2 yawa sampe aceh sana... Mgkin anak2 papua tggl jauh2... Yaaa,yang saya heran ditv anak papua tidak nampak ya yang sering muncul anak yawa sampai aceh sana mgkin anak papua tggl jauh yaa,surprise,7
sambal matahnya tidak pernah bikin kecewa Buk.,sambal matahnya tidak pernah bikin kecewa buk,joy,4
"kangan terkejut, pemerintah sudah lama konyol, dewan perwakilan pun demikian.. coba merenung, terpilih saja kan mereka beli suara kita.. mentalitas itu yg kita pilih",kangan terkejut pemerintah sudah lama konyol dewan perwakilan pun demikian coba merenung terpilih saja kan mereka beli suara kita mentalitas itu yang kita pilih,surprise,7
"Ga cinta, ga benci, dan ga peduli",tidak cinta tidak benci dan tidak peduli,sadness,6
Asal Jan ikan tahu aja lah muak gue liatnya,asal jan ikan tahu saja lah muak saya liatnya,disgust,1
Ini artinya Nelayan2 di Natuna bukan sj hrs mnghadapi Kapal2 illegal RRT..tapi jg berhadapan dgn Kapal2 ssama warga negara Ind. Dimanapun kapal2 besar tst beroperasi..Nelayan2 kecil yg akan sengsara seiring berkurangnya hasil ikan tangkapan.,ini artinya nelayan di natuna bukan sj harus mnghadapi kapal illegal rrt tapi juga berhadapan dengan kapal ssama warga negara ind dimanapun kapal besar tst beroperasi nelayan kecil yang akan sengsara seiring berkurangnya hasil ikan tangkapan,anger,0
"Fiks, siapa pun kalian hati2 kalo kemana2. Gue cuma takut orang ini jahat sebenernya. Apalagi tatapannya bikin risih. Be safe, guys!",fiks siapa pun kalian hati kalau kemana saya cuma takut orang ini jahat sebenarnya apalagi tatapannya bikin risih be safe guys,fear,2
"Mo tidur nangis, bangun nangis juga. Heran deh, ga capek apa.",mau tidur nangis bangun nangis juga heran deh tidak capai apa,sadness,6
Njirr kek brita duka,njirr kek brita duka,sadness,6
"Hai Kak, maaf banget nih bikin kamu cemas. Coba infoin nomor pesanan yang bermasalah tersebut ke DM yuk Kak biar mimin bantu cek. Ditunggu DM nya ^SA",hai kak maaf sekali nih bikin kamu cemas coba infoin nomor pesanan yang bermasalah tersebut ke dm yuk kak biar mimin bantu cek ditunggu dm nya sa,fear,2
Boro2 ama atlet ama coach aja udah gugup wkwkwk,boro sama atlet sama coach saja sudah gugup,fear,2
