clean_tweet,label,label_id
hari ini story iolls full muka alepan itu ja yang mampu buat pon happy birthday username bff yang paling saya sayang,happy,3
seram sekali sih yang jualan yang nipu nipu saya bawa duit orang sedikit saja tidak tenang sekali ini kalau belum dapat kabar barangnya dapat kaga ini sampai orderan customer tidak di beliin,fear,2
yakaann cempreng nya kedengeran huhuhu takut man dimarahin nayah hahahahahah,fear,2
cinta itu sederhana saya dan kamu dan tidak ada yang lain saya untukmu dan kamu untukku yang lain cuma nonton,love,5
tentang muhasabah mau sebegimanapun amalan kita dalam satu hari kesimpulan muhasabahnya harus sama yakni amalan kita masih terlalu sedikit dan dosa kita masih terlalu banyak,sadness,6
username kasihan fh bangun pagi tidak ada kerjaan mau ke kantor pks tidak di terimah tidak ada info dari kawan di pks mau ke kawan lain bedah partai mau ke pemerintah sudah tidak di akui dari partai mana kasih juga yah balik kampung saja,sadness,6
pulang kerja jalan ke lagi makan jalan bicara tertawa tawa pulang malam tapi pilih buat nongkrong lagi di parkiran pom bensin samping sency lanjut bicara tertawa tawa staring at each other lalu dicium kening lalu pamit pulang sungguh kebahagiaan itu sangat sederhana,happy,3
ih wowo saya pemaf kok tapi maaf saya pendendam tidak ush minta akun kalau bwat di delcon picik otak kamu,anger,0
tahun kemarin sebulan sekali lewati malino kalau melakukan pendakian sekarang mirip sudah tidak bisa lagi capai ini tempat hahah terakhir kesini july url,sadness,6
bila scene ini mesti rasa sampai kat hati sangat paham sangat rasa tertipu rasa kita sayang sangat dengan orang itu kita tak kisah pun orang itu siapa gaji kecil pun tak kisah kerja apa pun tak kisah then kita rasa tertipu feel sangat scene ini terasa kat hati,surprise,7
ketika beliau menjadi gubernur dki jakarta kegiatan blusukannya diikuti oleh para wartawan karena pada waktu itu dianggap sebagai sebuah hal yang baru dan unik sehingga kemudian dikenal masyarakat luas,happy,3
c setelah episode ini saya makin sayang ke semua trainee kek saya ngeharep mereka semua bisa debut saja begitu tidak cuma lolos bisa now i feel like they all deserve that,love,5
excited dan kadang gugup juga campur aduk deh semuannya,fear,2
tidak pernah sama sekali membatasi dia buat chatan or main sama siapa saja terserah dia karena semakin kita larang semakin kesempatan orang buat bohongin kita tuh gede jadi terserah lah yah ensenang saja menjalani hubungan iniw,love,5
revisi menumpuk badan mulai ngantuk hajar perut makan pop mie goreng dulu ayo siapin stock pop mie di kost biar revisi jalan terus,sadness,6
ngeri yo galak koyo banteng,fear,2
memang allah maha baik bahkan ada banyak pelajaran dari hal hal kecil terjadi semalam ada yang bilang sabar yang pasti ada jalan jangan dibawa kalut dulu tapi memang dasar imanku masih cetek bukannya nenangin diri malah sibuk ngeluhin si bapak,sadness,6
sakit sekali saat cowok yang bikin kamu bahagia kemarin ternyata yang bikin kamu nangis hari ini,sadness,6
capai bangetss mana lapar lagi tadi ceritanya mau balik sekalian beli makan tapi malah di ikutin salah satu orang kantor kan risih kalau berhenti terus di ikutin,disgust,1
wkwkkwk fansnya merasa kesal,joy,4
dulu jaman putih abu abu rasanya ngebet sekali ingin cepat kuliah eh sekarang pas sudah kuliah mikir berat rasanya jadi ngebet ingin nikah,sadness,6
askmf kenapa ya saya takut sekali kalau mau omong atau muncul di grup gituu benar panik gituu kalau harus muncul di grup gimana cara ngehilangin nya ya,fear,2
username yah berarti saya dosa dong masalahnya nyokap saya kalau suruh guaa beli kopi tidak ditanyain kmbaliannya yaudah saya inisiatif saja tabungin,fear,2
saya jadi nyebayangin orang yang bangunin sahur dimasjid keceplosan shoower shower shower bapak bapak ibuk ibuk url,fear,2
soalnya kesal sangat mas sal,anger,0
membuka bisnis sendiri apalagi sudah banyak contoh teman nya yang jatuh tersebut mr b juga ngeri mendengar cerita teman nya yang sering bertengkar dan cekcok dengan istrinya perihal keuangan keluarga apalagi kondisi sekarang ini itu membuatnya semakin ngeri untuk resign itulah bujuk rayu setan,fear,2
di malam ini saat lagi terpojokkan memilih jalan dapat dm begini kalau sudah ada niat segera d laksanakan soalnya nanti d tunda sama dengan tidak jadi biasane lalu kutersedaq,sadness,6
sebenarnya tidak kaget juga sih karena setahu saya sebelum jorge lorenzo pindah ke ducati honda dikabarkan ngebet sekali ingin mendapatkan jorge akhirnya kesampaian deh good luck deh buat jagoan saya username,happy,3
tapii saya tidakk islammphobia kaya orang openminded lainnyaa mrsa bangga,joy,4
terkejut saya ingat mak saya main twitter marah saya jerit tengok whatsapp,surprise,7
habis baca cerita yang menceritakan kehidupan berumah tangga dimana ada satu wanita yang selalu disakiti karena ketidakberdayaan seorang laki si laki dilema antara harus menuruti kemauan ibu atau kemauan hati nurani sendiri untuk memperjuangkan istrinya,sadness,6
iya kalau kita belum lulus terus ada begituan ngeri anjir apalagi ditanya soal kimia fisika matematika,fear,2
beeuughh dari jaman duluu sudah sering parno ngebayangin ini tiap liat tukang cukur bersihkan rambut laki pakai pisau ituloh pasti langsung kebayang itu pisonya dipakai ramai terus kalau berdarah terus kena yang lain sterilkah url,fear,2
username username cerita satinah satu ini kayaknya memang beda yaa hampir semua reply bilangnya sama degdegan sampai tidak berani biarpun cuma liat sampai sekarang saja saya gaberani liat pic nya,fear,2
pertama kali ngetwit muncul setelah yang marak merajalela pada saat itu masa dimana kenakalan remaja berangsur angsur melebur demi meraih cita begitu indahnya saat itu url,happy,3
ada manusia yang berusaha melihat nasib dan masa depannya mereka mencari orang pintar untuk meramal masa depannya padahal sang peramalpun tidak pernah tahu masa depannya ibarat orang buta dituntun orang buta demikianlah orang yang mengandalkan nasib dan masa depannya kepada peramal,sadness,6
tapi kemudian ada yang ragu karena perawatannya kecatet di riwayat bpjs takut pas dibaca sebagai tidak sehat mental,fear,2
heads up warpaint nah ini bandnya si mbak t tadi juga tidak kalah kece walopun lagu nya lebih ngepop dan lebih mainstream dari yang sebelumnya tapi tidak bikin ke kecean mbak ini luntur saya suka sekali so good whiteout sama the stall url,happy,3
udaranya mendukung sangat buat makan abis itu tidur hoam o,happy,3
kalau bahagia itu sederhana kenapa kamu sibuk mempercantik raga sedang kamu tahu milikmu adalah hal yang fana lokasi sungai susukan ndalem mejagong randudongkal pemalang username username username url,sadness,6
teman nya laki saya almh th meninggal waktu pda hidup ngintil saja kemana laki alh saya mlangkah ngikut suka nlpon nelpn kekantor perpanjangan katakata nya suamiku almh waktu jatuh cinta kasihan tidak bisa dtang di rmah duka rs husada orang nya senang tertawa comblang laki ku hdhh sedih,sadness,6
precious feeling saya benar pasti dapat rappline pas buka ehh benar dapat mas namjoon sama koh yoong senang sekali saya tuh,happy,3
username username username demokrasi kita memang lagi mundur saat ini karena kebebasan berekspresi terus menerus di pantau oleh penguasa,sadness,6
ngeri sangat tsayat diserang ardhito garis keras,fear,2
sama heran sangat saya tuh,surprise,7
risih saja hanya menyesal akhirnya,disgust,1
ada yang salah dengan negara kita makin banyak orang yang halu dan tidak percaya dengan pemerintahan harusnya jadi perhatian pemerintah nih bisa jadi karena mereka kecewa dengan pemerintah dan merasa ada harapan baru karena yang ikut banyak lho lama bisa jadi gerakan revolusi lho ini,sadness,6
buat hiburan baca ini deh terus lanjut baca twit receh di ternyata hidupque tak lebih dari remah rangginang macam manusia yang makan di kiefsi saja oge meni hayang pamer di story aque maloo username username url,happy,3
kamu bukan spasi diantara bait puisi kamu ada diantara makna tersembunyi yang tersusun dan terurai memaknaimu tidak cukup sekali ragu dan benci silih berganti pandai sekali rasanya dibolak balik ttanya hilang lagi kala dirinya seakan benar benar telah kembali,sadness,6
palingan juga begitu penjelasan aparat tak heran kalau ada yang bakar quran melukainya atau membunuh ulama gangguan jiwa selesai umat islam sabar,anger,0
tidak tahu sejak kapan tiap dengerin kucing ngeong sama anjing melolong malam selalu ngebayangin ada sesuatu di luar dan bikin gaberani bangun,fear,2
habis itu saya bilang begitu malah tanya tanya komitmen kek yang ada di foto ke kan katanya mau bilang langsung ya memang dia besoknya jelasin langsung ke saya tapi dengan alasan yang kurang jelas ya kecewa si cuma mau gimana lagi berarti memang dia bukan buat saya,sadness,6
anda paham benar tuh jalan sorga bung ngeri saya,fear,2
done kata pak suami biar tambah rajin belajar masaknya sa ae ah btw tengkyuu boss adhe khadoet besok lagi yaa hahahaa,happy,3
sangka karena saya yakin svt benar bisa besar sih mereka tuh punya ciri tersendiri beda sangat vibenya juga sukak deh ingat sangat dulu dari yang tembok ijo kalau kumpul teman yang kpopers juga suka saya setelan vidio mereka sudah sampai pada risih ini lagi raf,disgust,1
bayar pajak tahunan nomor antrian tidak dipakai dipanggil by name terus apa fungsi di beri nomor antrian username url,anger,0
username suka skinship cuma sama pacar peluk cium nangkring di paha duduk di pangkuan ya begitu deh wkwkw kalau sama teman cwek agak canggung nyahah,happy,3
cc username username ko username mingkem hanya dalam minggu bupati pdip kena ott kpk semakin juara korupsi url,anger,0
tertipu kamu bgst,anger,0
ngeri kalau hujan air panas,fear,2
lagi kamu buka ruang untuk terima golongan macamtu lagi diorg besau kepala sudah tentu tentu benda salah benda allah murka semua umat islam tahu yang bukan islam pun tahu benda mcmni lagi banyak negatif dari positif ada sbb setiap yang allah tetapkan dan kamu cuma hamba biasa ingat,anger,0
semoga pada januari ini menjadi hari terakhir di bulan ini untuk kita semua akhirnya mencapai suatu keberkahan dengan penuh rasa syukur setelah berproses dengan indah,joy,4
terimakasih bapak ibu dari dinas perindustrian pengusaha spa kalimantan selatan sudah berkunjung ke semoga dilain kesempatan bisa berkunjung kembali,happy,3
wahai yang maha cinta sandingkanlah saya dengan jiwa pilihan mu yang karena kebaikanku baikkanlah ia tapi jika ia lebih baik baikkanlah saya,love,5
seakan akan apa apanya tuh nikah nikah nikah nikah nikah nikah nikah nikah nikah hmm di kepala kalian isinya cuma nikah ngapa ya dikira nikah gampang apa,anger,0
saya rasa hidup tanpa jiwa orang yang miskin atau kaya sama ganasnya terhadap harta bagai binatang di dalam rimba nocturno,sadness,6
aduh ini lagi satu cewek yang sudah pikirannya jahat jari jarinya jahat dinikmati heh mbak memang penyanyi dangdut itu auto lonte lonte juga bisa kena sexual harassment mbaak,anger,0
nana mirdad kalau ngaca terpesona sama muka sendiri tidak ya,surprise,7
lagi ramai sexual harassment gara via vallen dan banyak pro dan kontra atas yang dilakukan via yang kontra mungkin harus nonton reason why sih tuh dimana sudah cerita kemana minta pertolongan tapi orang nganggep hal tersebut sepele telek,anger,0
persahabatan kami selalu indah jika salah saling mengingatkan jika benar selalu di dukung namun bila salah satu jatuh kami saling menertawakan,love,5
kalau memang tadu hari terakhir bisa bercanda sama kamu inshaallah saya sudah siap buat pisah biar berat juga tidak boleh egois semoga sukses ya kamu ke depan,sadness,6
kok saya jadi takut juga ya,fear,2
jangan kaya begitu lagi oke sesusah apapun pokoknya harus bisa tahan diri buat tidak menyakiti diri sendiri gimanapun caranya coba lampiasin ke gambar atau nulis pokoknya usahain jangan menyakiti diri sendiri banyak yang sayang sama kamu tidak mau kamu kena,love,5
saya tidak mampu mencegah hatiku untuk tidak terus merindukanmu meski saya sadar bahwa rasa rindu ini hanya akan membuatku bertambah sakit,sadness,6
username username semua orang berhak bicara agama apalagi para koruptor kalau ketangkep disidang langsung ganti penampilan berjilbab pakai peci pakai baju koko dan lain maling mendadak religius,anger,0
username padahal dalam tahun sudah berapa kali ke bandung tapi tidak pernah ketemu tapi akhirnya ketemuu wkwkkw b saja loh cil jangan dilebaikan ya,happy,3
mungkin tidak si kalau capai nya karena dia banyak pikirannya karena dia ato memang karena terlalu banyak harapan padanya dan berakhir kecewa makanya sering capai sendiri,sadness,6
username pintar ganteng berwibawa sama jago kendaliin suasana membuat pusing keliling adoeh cepat ketemu lah beta sudah ingin bertemu,love,5
thread ini kok lucu padahal dia sengsara anw kita butuh hiburan kaya gini tidak sih sesekali capai kalau bertengkar hoax memetwit halu sama info covad covid yang jatuhnya makin bikin takut,sadness,6
wah parah sekali sih sendiri tapi sumpah itu ngebayanginnya saja sudah seram sekali kepikiran saya juga sampai sekarang temenmu langsung tanggap sekali hebat tidak kaya saya cengo,fear,2
mungkin dia sedikit kesal karena tiap hari ada saja muka tzuyu yang lewat tl dia gara gara saya,anger,0
karena saya ikuti dari awal pengumuman castnya ekspetasiku jadi tinggi sekali pas lihat ep saya kaya agak kecewa begitu kayak tidak sesuai ekspetasi tapi saya langsung keinget oh iya ini kan romcom jadi wajar saja sih terus ya tetap saya tonton soalnya memang alasanku nonton karena bin sama yejin,sadness,6
dikira sudah sampaj kampung halaman nyatanya masih di pangumbaraan rm ikan bakar pangandaran jalan yos sudarso url,sadness,6
bahagia itu dekat seperti i cinta the way you say good morning so say it every single day to me ya cuma mau mengingatkan jika satu orang sudah mulai pudar kepeduliannya jangan pernah takut karena diluar sana akan ada orang yang lebih peduli sama kamu as long as you do something good juga,happy,3
oke baiklah d,happy,3
sudah ribuan penelitian anak bangsa terkait penanggulangan sampah tapi sangat jarang diterapkan bagi bagi proyek jangan terlalu serakahlah baiknya masa depan kan untuk anak cucu dan kemanakan kita juga url,anger,0
username itu syetan dan iblis saja sampai terbengong bengong baca tweet ini mereka saja belum kepikiran goda manusia sampai segitu nya memang evolusi manusia ke syetan dan sebaliknya sangat cepat,fear,2
dani james dole ya koma benci,anger,0
sudah basi nder cara adu dombanya lama kelamaan malah kamu bikin muak jadi gapeduli mending kamu tidur kalau bisa jangan bangun lagi,anger,0
seru seru bangga begitu akhirnya lega dia setelah mendem beberapa lama,joy,4
yang ngeselin lagi ini kalau ada klien tanya fee dijawab sebenarnya lalu kaget lah elu bayar dokter cuma konsul hitungan menit rela bayar mahal lah sama psikolog mana ada konsul cuma menit sejam saja sudah bagus kalau ketemu akar masalahnya hh,anger,0
saya keplak palanya jan salahkan kalau jiwa emak saya bangkit wkwkwkk dan satu lagi saya tyda ada masalah kalau ada mutual saya yang benci wlm itu hak orang masing selama tidak kelewat batas yah tidak apa-apa hahhaah yowes sudah waktunya tidur goodnight,anger,0
username whatsapp saya kan sudah terang terangan kamu blokir setelah saya mempergoki kamu secara tidak sengaja bahwasanya kamu kerja di informa ace hardware tapi malamnya saya akan sapa kamu tapi sudah keburu kamu blokir padahal seminggu sebelumnya saya,anger,0
ya elah saya juga tidak mau kog hidup di tngh kelilingin saudara mama saya yang jahat sirikan gila jahat dengki bocengli najisin sangat tidak sudi saya tetap harus pindah ke kanada sama hubby saya yang sudah mapan n mature donk,anger,0
username rt jadi gimana kamu tetap memilih bertahan meskipun sudah tahu kalau dia sedang menjalin hubungan dengan yang lain mau ngatain bodoh tapi takut dosa,anger,0
belum bulan aing pusing gegara skripsi lah ini sudah kudu mikir proposal lagi ingin liburan tapi barusan saja balik dari liburan tidak boleh sambat tapi tidak apa-apa kalau di twitter,sadness,6
pacar yang baik adalah pacar yang nasehatin kamu tidak pernah ngebentak tapi dengan lemah lembut kasih sayang sambil tersenyum menatap mata kamu,love,5
segala kebaikan yang kita perbuat bagaikan meneteskan air keringat dilautan,sadness,6
lagi hamil dan ikut tantangan in my feelings gerakan cherly juno bikin ngeri dengan perutnya yang sudah membesar begini goyangan cherly url,fear,2
beliau menimbang beberapa hal sempat membuka traveloka cek harga tiket mahal bet kan paakk lalu pada akhirnya beliau tanya besok ada uas jam berapa beliau memberi harapan,happy,3
ada saja ya yutuber kesannya review barang tapi kalau dia tidak suka sama barang itu ya jadinya jelekin tapi selalu bilang tidak jelekin pendapat pribadi saja sambil terus ngulang silahkan kalau mau beli saya sih tidak mending dibelikan apalah yang kesannya lebih berfaedah,sadness,6
sebenarnya awal saya naksir yang coklat tapi waktu itu stock kosong t t karena saya ingin tahu parah sama sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat jadinya beli yang ada stocknya saja akhirnya saya berjodoh dengan steel,happy,3
masih heran kenapa ada si manusia bentukan kaya begitu siapkan mood terbaikmu hari ini se tidak nya kalau kamu sebal itu mood mu tidak langsung habis,surprise,7
kangan terkejut pemerintah sudah lama konyol dewan perwakilan pun demikian coba merenung terpilih saja kan mereka beli suara kita mentalitas itu yang kita pilih,surprise,7
kemarin habis sulam alis d dan hari ini terlihat masih ketebalan kaya sincan karena hasil lukanya mengering biasanya peel off setelah hari nanti hasilnya kaya bulu alis alami semoga ye tidak sia sia saya tahan sakit sama jauh jauh ke kelapa gading url,fear,2
merasa tersinggung nih,anger,0
kesal kesal benci kepikiran terus eh tahu tahu suka terus jadian haah sa ae kamu saodah sagara,joy,4
iya nih anjing manusia pada lebay muak saya liatnya,anger,0
tapi ngeri sih ya memang akun gede dengan followers ribuan tuh kalau ngetweet yang jelek atau salah sedikit yang hujat langsung banyak saya takut kalian unfollow saya saja please,fear,2
kali ini ku merasa cinta memaksaku untuk bicara haruskah ku menerima jika kenyataannya berbeda atau ku biarkan saja semua yang terjadi tetap seperti ini mungkinkah ku yang akan memilikinya,sadness,6
karena cinta pahit berubah menjadi manis karena cinta tembaga berubah menjadi emas karena cinta ampas berubah jadi sari murni karena cinta pedih menjadi obat,love,5
takut ya,fear,2
kadang syukur,joy,4
partai merah ini kan ideologi dasarnya tidak mengakui adanya akherat masih sejalan dengan pancasila kah yak apa pak prof username mnjelaskannya sila pertama jelas tidak nyambung dengan partai merah url,anger,0
setuju apalagi bisa di buang ke tempat sampah sesuai dengan jenis nya mirip sampah daur ulang dan sampah yang tidak bisa di daur ulang url,happy,3
walau ramadhan menyebarkan energi kebaikan harus lebih semangat dibandingkan sebelumnya terima kasih untuk pln batam url,happy,3
username username halaahh di kritik sedikit langsung ciduk apalagi ketemu noh kacung mu braninya memang di medsos saja giliran diskusi terbuka plangaplongo ngalor ngidul kabuurr,anger,0
awalnya risih diliatin terus pas tahu auto uwuu,disgust,1
salah seorang teman bertanya sakit mana dengan sakit hati jika saya dapatkan rasa sakit yang sama saat patah hati dengan rasa sakit saat mendapat tindakan dokter yakinlah saya tak hanya mengatakan iya saat dia minta maaf mungkin akan ada pelajaran buat ia pahami sakit itu apa,sadness,6
bangga lah tidak usah kamu minder minder tidak ada gunanya,joy,4
so s actually can dance bruh kita semua tertipu,surprise,7
setelah berbulan bulan tertunda karena akreditasi rumah sakitnya lalu berminggu urus perizinannya akhirnya bisa nyebar kuisioner juga url,happy,3
iya kan saya suka melihat kenapa kamu suka senyam senyum lihat hp saya kan mau muda juga,joy,4
cuma ada saja manusia yang tidak ngerti posisi si panitia tersebut dengan seenaknya minta ganti tempat hanya gegara maksimal nongkrong adalah jam jam masih kurang ebuset wkakaka,anger,0
baru tahu ada suami yang segitu cemburuannya isterinya ada tanda bekas digigit nyamuk dituduh abis dicupang orang lain url,sadness,6
foto saya di instagram masih ada cuma lupa password instanya jadi tidak bisa di buka ini pasti salah pemerintah dan instagram kenapa sampai pakai password segala tuh sampai lupa kan saya,anger,0
pen murka saja saya,anger,0
bukti n fakta kalau pejabat ina tidak disegani olh mereka miris malu tngkt international,sadness,6
terkejut diri ini kan lalu perut ku kruyukan akhirnya ku putuskan untuk searching dimane foodcourt nya eh pas searching no signal breh tri ku di thamrin dan tanabang tidak berfungsi samsek,sadness,6
mana mungkin orang yang tidak pernah bertemu bertahun tahun dan tidak pernah saling bicara tiba tiba bisa senyaman itu sudah pasti akan lebih banyak grogi gugup dan salting apalagi kalau dua duanya sama sama pendiam dan pemalu dan itu sangat wajar,fear,2
kelaparan di stasiun beli paket es teh roti o dan duduk sambil nyruput es teh padahal di sebelah ada orang pada sholat saya merasa seperti syaitonirojim,sadness,6
sediihh kokmasih ada bangsaku yang menipu bangsanya sendiri dan tertipu hal yang dilogikan pun tidak masuk akal sehat,sadness,6
smoker jangan tertipu oleh penampilan luar saja,surprise,7
username belum lama ini dia bilang kalau dia sedih ngeliat teman temennya ngalamin masa sulit dan bahkan mereka pun tidak mau punyagrup chatting karena khawatir kalau ada yang tidak balas malah jadi menyakiti perasaan se soft itu lho mereka,sadness,6
